,,,* = Potentially Revise,,,,,Done,In Progress,N/A
Round,Scale,Time (seconds),Object,Display Name,# of Taps,Expected Taps/Sec,Model File Name,Modeled,Textured,Implemented
1,1,4.00,Ant,Defenseless Ant,1,0.25,,,,
2,1,4.00,Ear Buds,Tangled Ear Buds,8,2,,,,
3,1,4.00,Alarm Clock,Blaring Alarm Clock,12,3,,,,
4,2,8.00,Fedora,Questionably Stylish Hat,28,3.5,,,,
5,2,8.00,Slow Laptop,Slow Laptop,30,3.75,,,,
6,2,8.00,Lawn Mower,Smoking Lawn Mower,32,4,,,,
7,3,12.00,Copy Machine,Jammed Copy Machine,51,4.25,,,,
8,3,12.00,Trump,President,56,4.666666667,,,,
9,3,12.00,Car,Double Parked Car,60,5,,,,
10,4,14.00,Tiny House,Minimal Tiny House,72,5.142857143,,,,
11,4,16.00,Iceberg*,Familiar Iceberg,85,5.3125,,,,
12,4,18.00,Ocean Liner*,Very Familiar Ocean Liner,100,5.555555556,,,,
13,5,20.00,Florida* (Different Large State?),Florida,115,5.75,,,,
14,5,25.00,Earth,Earth,130,5.2,,,,
15,5,30.00,Player,You,150,5,,,,
,,,,,,,,,,
,Length (Seconds),195.00,,,,,,,,
,Length (Minutes),3.25,,,,,,,,
